id,text,aspects,category
3121,But the staff was so horrible to us.,"{'term': array(['staff'], dtype=object), 'polarity': array(['negative'], dtype=object), 'from': array([8], dtype=int16), 'to': array([13], dtype=int16)}","{'category': array(['service'], dtype=object), 'polarity': array(['negative'], dtype=object)}"
2777,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","{'term': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([57], dtype=int16), 'to': array([61], dtype=int16)}","{'category': array(['food', 'anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive', 'negative'], dtype=object)}"
1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","{'term': array(['food', 'kitchen', 'menu'], dtype=object), 'polarity': array(['positive', 'positive', 'neutral'], dtype=object), 'from': array([  4,  55, 141], dtype=int16), 'to': array([  8,  62, 145], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
2534,Where Gabriela personaly greets you and recommends you what to eat.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['service'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
583,"For those that go once and don't enjoy it, all I can say is that they just don't get it.","{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['anecdotes/miscellaneous'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
2846,"Not only was the food outstanding, but the little 'perks' were great.","{'term': array(['food', 'perks'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object), 'from': array([17, 51], dtype=int16), 'to': array([21, 56], dtype=int16)}","{'category': array(['food', 'service'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object)}"
1571,It is very overpriced and not very tasty.,"{'term': array([''], dtype=object), 'polarity': array([''], dtype=object), 'from': array([0], dtype=int16), 'to': array([0], dtype=int16)}","{'category': array(['food', 'price'], dtype=object), 'polarity': array(['negative', 'negative'], dtype=object)}"
1458,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"{'term': array(['orrechiete with sausage and chicken', 'waiters', 'meats', 'dish'],
      dtype=object), 'polarity': array(['positive', 'positive', 'neutral', 'neutral'], dtype=object), 'from': array([ 27,  76, 152, 113], dtype=int16), 'to': array([ 62,  83, 157, 117], dtype=int16)}","{'category': array(['food', 'service'], dtype=object), 'polarity': array(['positive', 'positive'], dtype=object)}"
3161,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","{'term': array(['Bagels'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([4], dtype=int16), 'to': array([10], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
2391,Nevertheless the food itself is pretty good.,"{'term': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object), 'from': array([17], dtype=int16), 'to': array([21], dtype=int16)}","{'category': array(['food'], dtype=object), 'polarity': array(['positive'], dtype=object)}"
